# eventtype event clockticks time[s]  Energy[%]
U 89 66389022 13.25024023696286 87.33259721599815
D 90 66574606 13.279626254561517 87.27872714341594
D 91 66715331 13.307695162503794 87.22585495062208
D 92 69528934 13.868923669739914 86.75910352257605
D 93 69670073 13.897076677314146 86.70644502294692
U 94 69777704 13.926571577004012 86.65284313288538
U 95 69920908 13.955153329493506 86.6052543911362
U 96 72157036 14.401450399811683 86.34120988864751
U 97 72300534 14.430088857199308 86.29374782345079
D 98 72490447 14.459655905817753 86.24032266589019
D 99 72632010 14.48789363909284 86.1878778224271
D 100 75444167 15.048833879937938 85.72790330953825
D 101 75586153 15.077156051504073 85.6756698017098
U 102 75691284 15.10683257956274 85.62251015383427
U 103 75835440 15.135604161221815 85.57534167785528
U 104 78066445 15.580879224667951 85.31631849691523
U 105 78210893 15.609707631865831 85.26927488436779
D 106 78405133 15.639456523822439 85.21628978273705
D 107 78547545 15.667863765040822 85.16426758379309
D 108 81358254 16.22851672400879 84.71095649734856
D 109 81501098 16.257008743638508 84.65914330993863
U 110 81603736 16.28686771662051 84.60642108321846
U 111 81748845 16.315830259839935 84.55966841458385
U 112 83974723 16.760080422866988 84.30557244119355
U 113 84120119 16.789099912316367 84.25894285062721
D 114 84318681 16.81903146465848 84.20639301662221
D 115 84461958 16.847608899397727 84.1547888257308
D 116 87271222 17.407975527727302 83.70802990843639
D 117 87414929 17.43663808246533 83.65663243800036
U 118 87515069 17.46668032169367 83.60434288375045
U 119 87661141 17.495834970128776 83.55800162806186
U 120 89881867 17.939057274347814 83.30874068497253
U 121 90028225 17.968268989752122 83.26252075092951
D 122 90231120 17.99838402429388 83.21040146577587
D 123 90375250 18.02713234111008 83.15921071354914
D 124 93183097 18.58721355741499 82.7188948867499
D 125 93327647 18.616047337291352 82.6679085985374
U 126 93425296 18.646273668894562 82.61604703256509
U 127 93572342 18.675621577637497 82.5701128623236
U 128 95787905 19.117813000042602 82.32559666720512
U 129 95935233 19.147218096539365 82.27978208828414
D 130 96142464 19.177517439899248 82.22808870145208
D 131 96287432 19.206437330339003 82.17730688436971
D 132 99093865 19.766234021240194 81.74332719987191
D 133 99239274 19.795239719279678 81.69274762325468
U 134 99334454 19.825650974231667 81.6413094312136
U 135 99482467 19.85519330998715 81.59577808089033
U 136 101692846 20.296350763149945 81.3559181976068
U 137 101841164 20.3259504074876 81.31050473533216
D 138 102052702 20.356434891127602 81.25923266330648
D 139 102198569 20.38552704973948 81.20885534253257
D 140 105003555 20.94504007048182 80.78110693570703
D 141 105149844 20.974218382717385 80.73092966119556
U 142 105242538 21.004815396874243 80.67991029542752
U 143 105391543 21.034553338140313 80.6347775624222
U 144 107596723 21.47467367038301 80.39948736195386
U 145 107746008 21.50446904109986 80.35447083965676
D 146 107961901 21.535139501364192 80.30361556472585
D 147 108108624 21.564404625710377 80.2536383649389
D 148 110912203 22.123634800759284 79.83201840208775
D 149 111059346 22.152986426242414 79.78223908830729
U 150 111149576 22.18377004038511 79.73163406560035
U 151 111299569 22.213704777633836 79.68689580721984
U 152 113499522 22.652784773169515 79.45609042115619
U 153 113649805 22.68277706077793 79.41146672284927
D 154 113870029 22.713634338932646 79.36102379192836
D 155 114017620 22.74307312960128 79.31144240020406
D 156 116819791 23.30202125322626 78.89585003742101
D 157 116967806 23.331546894042773 78.84646440020629
U 158 117055582 23.36251795391339 78.79626930193398
U 159 117206559 23.392650689785178 78.7519214367122
U 160 119401293 23.83068706883728 78.52551771981786
U 161 119552560 23.860877476011215 78.48128278913214
D 162 119777130 23.891922418284604 78.43124781261017
D 163 119925590 23.92153557890159 78.38205797729674
D 164 122726351 24.480202415744362 77.97239431289455
D 165 122875243 24.509902777020265 77.92339813222375
U 166 122960556 24.541062133366886 77.87360860228098
U 167 123112534 24.571394082854212 77.82964710706823
